threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.6,22,DMM,0.54,0.08613829398647947,,0.06
0.6,22,ISF,0.6,0.12932296046630185,,0.08555555555555555
0.6,23,DBL,0.58,0.09656868818108741,,0.0592156862745098
0.6,23,DMM,0.6,0.07564922399299646,,0.05018181818181819
0.6,23,ISF,0.58,0.17753600152111368,,0.12227272727272727
0.6,24,DBL,0.46,0.11159330536402887,,0.09621621621621623
0.6,24,DMM,0.48,0.07770090741528501,,0.0915
0.6,24,ISF,0.48,0.15079777036151656,,0.106
0.6,25,DBL,0.48,0.13884594908633774,,0.08909090909090908
0.6,25,DMM,0.44,0.19049032616946715,,0.07285714285714284
0.6,25,ISF,0.54,0.12138082334632902,,0.10791666666666667
0.6,26,DBL,0.5,0.14513075929344288,,0.07947368421052632
0.6,26,DMM,0.48,0.08809147959054782,,0.05578947368421052
0.6,26,ISF,0.52,0.18609864205371096,,0.08418604651162792
0.6,27,DBL,0.6,0.01214493016268426,,0.0515625
0.6,27,DMM,0.54,0.06155208173686166,,0.0619607843137255
0.6,27,ISF,0.48,0.15650343185228188,,0.1335135135135135
0.6,28,DBL,0.52,0.08303296817829174,,0.05674418604651163
0.6,28,DMM,0.5,0.11260267640627171,,0.05243243243243244
0.6,28,ISF,0.56,0.11890191584330298,,0.08777777777777779
0.6,29,DBL,0.54,0.06367625214674433,,0.08959999999999999
0.6,29,DMM,0.44,0.05302765462402837,,0.07081081081081082
0.6,29,ISF,0.58,0.19614314583504808,,0.17958333333333332
0.7,0,DBL,0.22,0.5185873821602536,,0.19555555555555554
0.7,0,DMM,0.22,0.49982614941255504,,0.18444444444444444
0.7,0,ISF,0.12,0.6263331294386263,,0.57
0.7,1,DBL,0.2,0.6307497573326818,,0.325
0.7,1,DMM,0.18,0.7732451985119454,102.0,0.0
0.7,1,ISF,0.16,0.7771884332721213,62.0,0.83
0.7,2,DBL,0.3,0.5631888488592538,,0.4875
0.7,2,DMM,0.26,0.4284358071029082,,0.32
0.7,2,ISF,0.14,0.6514351369806524,,0.32
0.7,3,DBL,0.16,0.5498182353313854,,0.4425
0.7,3,DMM,0.14,0.5645356052200914,,0.4925
0.7,3,ISF,0.14,0.7812557771068016,59.0,0.0
0.7,4,DBL,0.06,0.736501112930101,162.0,0.0
0.7,4,DMM,0.04,0.7394195900401325,241.0,0.0
0.7,4,ISF,0.04,0.7679334246735137,171.0,0.0
0.7,5,DBL,0.16,0.4867701588602244,,0.31999999999999995
0.7,5,DMM,0.18,0.5260845702803909,,0.475
0.7,5,ISF,0.18,0.745291734911425,181.0,0.765
0.7,6,DBL,0.12,0.7095098911241786,,0.56
0.7,6,DMM,0.1,0.7383851173165492,343.0,0.0
0.7,6,ISF,0.1,0.7499701374684878,138.0,0.0
0.7,7,DBL,0.16,0.6440481529464261,,0.5
0.7,7,DMM,0.18,0.6274859963434154,,0.42
0.7,7,ISF,0.08,0.7961582243285722,89.0,0.0
0.7,8,DBL,0.22,0.31294413849642533,,0.0676923076923077
0.7,8,DMM,0.24,0.2681139020377511,,0.09333333333333334
0.7,8,ISF,0.14,0.2870320529166932,,0.122
0.7,9,DBL,0.18,0.3523776661090741,,0.22199999999999995
0.7,9,DMM,0.14,0.35218895278849205,,0.3177777777777777
0.7,9,ISF,0.14,0.6134354473203352,,0.5133333333333333
0.7,10,DBL,0.1,0.6786331027684995,,0.51
0.7,10,DMM,0.08,0.6168304394399978,,0.46
0.7,10,ISF,0.1,0.5485069522011713,1.0,0.36
0.7,11,DBL,0.12,0.765669936421265,116.0,0.0
0.7,11,DMM,0.14,0.7303366774041234,,0.0
0.7,11,ISF,0.06,0.7830052700060283,112.0,0.0
0.7,12,DBL,0.12,0.284969680604807,,0.12444444444444443
0.7,12,DMM,0.12,0.2932824605687953,,0.11777777777777775
0.7,12,ISF,0.08,0.6416206661139517,,0.48
0.7,13,DBL,0.16,0.4509688270033745,,0.3383333333333334
0.7,13,DMM,0.16,0.24601481730553104,,0.105
0.7,13,ISF,0.16,0.6617726451683766,,0.52
0.7,14,DBL,0.1,0.73508182122389,,0.66
0.7,14,DMM,0.1,0.7265305615931075,,0.68
0.7,14,ISF,0.12,0.6795976725927289,,0.57
0.7,15,DBL,0.2,0.5024559261564869,,0.3285714285714285
0.7,15,DMM,0.12,0.6850016588294152,,0.54
0.7,15,ISF,0.08,0.8104598005500635,58.0,0.0
0.7,16,DBL,0.12,0.696564200986689,,0.46
0.7,16,DMM,0.12,0.6632230349116948,,0.45
0.7,16,ISF,0.22,0.46293166953912085,,0.35538461538461535
0.7,17,DBL,0.16,0.47419780679181983,,0.35714285714285715
0.7,17,DMM,0.18,0.5906678057776493,,0.465
0.7,17,ISF,0.16,0.6528757750667409,,0.5
0.7,18,DBL,0.22,0.20050279360287707,,0.16555555555555554
0.7,18,DMM,0.22,0.15677409614152196,,0.11647058823529412
0.7,18,ISF,0.1,0.6958693091144293,,0.655
0.7,19,DBL,0.18,0.7277294949799146,351.0,0.0
0.7,19,DMM,0.16,0.7342746598516925,295.0,0.0
0.7,19,ISF,0.12,0.4979136343600888,,0.4766666666666666
0.7,20,DBL,0.1,0.6686960854068366,,0.6
0.7,20,DMM,0.08,0.6712267732953654,,0.58
